"Code","Fullresp","Modality","Audio","Video","Resp","ProverbioCond","audPoA","vidPoA","McGurkCond","Correct","Subject","Group"
181,"KA","audio","K","B","K","audio","velar","labial","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
115,"BA","audio","B","D","B","audio","labial","alveolar","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
242,"FA","audiovisual","F","P","F","audiovisual incongruent","labiodental","labial","audiovisual incongruent",TRUE,"nm01 mcgurk1.zil","nonmusician"
262,"PA","audiovisual","T","P","P","audiovisual incongruent","alveolar","labial","audiovisual incongruent",FALSE,"nm01 mcgurk1.zil","nonmusician"
256,"DA","audiovisual","D","T","D","audiovisual incongruent","alveolar","alveolar","audiovisual congruent",TRUE,"nm01 mcgurk1.zil","nonmusician"
188,"KA","audio","K","K","K","audio","velar","velar","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
261,"PA","audiovisual","T","B","P","audiovisual incongruent","alveolar","labial","audiovisual incongruent",FALSE,"nm01 mcgurk1.zil","nonmusician"
252,"BA","audiovisual","D","P","B","audiovisual incongruent","alveolar","labial","audiovisual incongruent",FALSE,"nm01 mcgurk1.zil","nonmusician"
172,"LA","audio","L","P","L","audio","alveolar","labial","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
126,"PA","audio","P","T","P","audio","labial","alveolar","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
233,"MA","audiovisual","M","M","M","audiovisual congruent","labial","labial","audiovisual congruent",TRUE,"nm01 mcgurk1.zil","nonmusician"
176,"LA","audio","L","T","L","audio","alveolar","alveolar","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
167,"TA","audio","T","L","T","audio","alveolar","alveolar","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
257,"DA","audiovisual","D","L","D","audiovisual incongruent","alveolar","alveolar","audiovisual congruent",TRUE,"nm01 mcgurk1.zil","nonmusician"
153,"DA","audio","D","M","D","audio","alveolar","labial","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
146,"FA","audio","F","T","F","audio","labiodental","alveolar","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
133,"MA","audio","M","M","M","audio","labial","labial","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
263,"A","audiovisual","T","M","A","audiovisual incongruent","alveolar","labial","audiovisual incongruent",FALSE,"nm01 mcgurk1.zil","nonmusician"
246,"SA","audiovisual","F","T","S","audiovisual incongruent","labiodental","alveolar","audiovisual incongruent",FALSE,"nm01 mcgurk1.zil","nonmusician"
282,"KA","audiovisual","K","P","K","audiovisual incongruent","velar","labial","audiovisual incongruent",TRUE,"nm01 mcgurk1.zil","nonmusician"
164,"TA","audio","T","F","T","audio","alveolar","labiodental","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
124,"PA","audio","P","F","P","audio","labial","labiodental","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
